|  |result|time(s)|
|---|---|---|
|1|10355|17
|2|9041|18
|3|11041|21
|4|13041|24
|5|10666|23
|6|9352|23
|7|11352|24
|8|13352|27
|9|10355|24
|10|9041|38
|11|11041|28
|12|13041|24
|13|11915|23
|14|9426|19
|15|12584|17
|16|15633|42
|17|11563|17
|18|9426|17
|19|13026|17
|20|16380|30
|21|11915|17
|22|9426|17
|23|13026|17
|24|16626|18
|25|17065|45
|26|14431|46
|27|19431|44
|28|24431|45
|29|17217|45
|30|14583|45
|31|19583|45
|32|24583|45
|33|16619|45
|34|14089|45
|35|18889|44
|36|23689|45
|37|15920|45
|38|14067|44
|39|18867|45
|40|23667|45
|41|8792|37
|42|9504|97
|43|9513|115
|44|12331|47
|45|12949|36
|46|11624|62
|47|13931|39
|48|12948|35
|49|12464|75
|50|10057|31
|51|10816|32
|52|15000|31
|53|14420|31
|54|15644|31
|55|14529|34
|56|28184|63
|57|37184|81
|58|58184|72
|59|43423|71
|60|28184|106
|61|37184|81
|62|58184|80
|63|43423|61
|64|28184|59
|65|37184|61
|66|58184|60
|67|43802|60
|68|28184|81
|69|37184|83
|70|58184|85
|71|43423|123
