|  |result|time(s)|
|---|---|---|
|1|10355|0
|2|9041|0
|3|11041|0
|4|13041|0
|5|10666|1
|6|9352|0
|7|11352|0
|8|13352|0
|9|10355|0
|10|9041|0
|11|11041|0
|12|13041|0
|13|11915|0
|14|9426|0
|15|13026|0
|16|16626|0
|17|11915|0
|18|9426|1
|19|13026|0
|20|16626|0
|21|11915|0
|22|9426|0
|23|13026|0
|24|16626|0
|25|17065|0
|26|14431|1
|27|19431|0
|28|24431|0
|29|17217|0
|30|14583|0
|31|19583|1
|32|24583|0
|33|16619|0
|34|14089|0
|35|18889|0
|36|23689|1
|37|16597|0
|38|14067|0
|39|18867|0
|40|23667|0
|41|8792|0
|42|10681|0
|43|13592|0
|44|12331|1
|45|12949|0
|46|14215|0
|47|13931|0
|48|12948|0
|49|13703|0
|50|10057|0
|51|10816|0
|52|15000|0
|53|14420|1
|54|15644|0
|55|14529|0
|56|28184|0
|57|37184|0
|58|58184|0
|59|43423|1
|60|28184|0
|61|37184|0
|62|58184|0
|63|43423|0
|64|28184|1
|65|37184|0
|66|58184|0
|67|43802|0
|68|28184|0
|69|37184|1
|70|58184|0
|71|43423|0
